subject,language,mean_dwell_time,n_transitions,flexibility,state_0_fraction,state_1_fraction,state_2_fraction,state_3_fraction,state_4_fraction
sub-EN057,English,5.108684697655286,28.0,0.1974459715004575,0.1252544063506978,0.15026912462919811,0.2669739856924897,0.1668647768225084,0.290637706505106
sub-EN058,English,6.779114786646924,21.0,0.1546820121862315,0.07993065562629287,0.06802231299684738,0.24990636450212572,0.09483687238634739,0.5073037944883867
sub-EN059,English,4.711141072161746,29.4,0.21019905738618866,0.030257543849167828,0.26209321871652164,0.25481981577436597,0.12097545587157703,0.33185396578836757
sub-EN061,English,7.011128515733779,19.4,0.13933509084973544,0.011702736745677317,0.1136304830493291,0.6174272499614157,0.045535797127958785,0.21170373311561907
sub-EN062,English,5.188129492266115,28.4,0.20336589219432408,0.08062485908736264,0.15778744060493946,0.14561723307485258,0.24149230418986814,0.3744781630429772
sub-EN063,English,5.45948717948718,25.2,0.18261725370055093,0.01043653223689966,0.08992778871888098,0.4357868597232031,0.09086851130239777,0.3729803080186185
sub-EN064,English,6.124243088539764,23.2,0.1645778653410873,0.03374690703428773,0.03617093867553145,0.4701221778435645,0.1452453685446979,0.3147146079019184
sub-EN065,English,5.573040293040293,25.0,0.17651096010168793,0.004225352112676056,0.14733284310121794,0.19396966586950604,0.17662526849777607,0.47784687041882395
sub-EN067,English,5.334734077673946,27.6,0.19601652590435767,0.0,0.0449822298940337,0.2235244915296593,0.3618360000938825,0.36965727848242447
sub-EN068,English,7.094117647058823,20.4,0.1466717629599054,0.0014285714285714286,0.2277061779397746,0.05122286338617198,0.3154068296148561,0.40423555763062585
sub-EN069,English,9.71687370600414,16.2,0.11431303266755002,0.012897265336289727,0.005787690570299266,0.707899786650104,0.14766918681664848,0.1257460706266585
sub-EN070,English,5.4374647550776585,25.2,0.18178188382197163,0.0015151515151515152,0.09727325293707681,0.3501968105428742,0.2854458697297703,0.26556891527512716
sub-EN072,English,4.864285714285714,27.8,0.2012338357404299,0.0014084507042253522,0.10743149730349708,0.33041760444087453,0.13902834727443034,0.42171410027697276
sub-EN073,English,6.0370992468411755,23.2,0.1660172300230251,0.06013969998854918,0.05830317552346438,0.10090672444965754,0.5531884633421532,0.22746193669617565
sub-EN074,English,5.157296918767507,28.4,0.19942400571364172,0.016743835874270658,0.19121775157516646,0.3891733485200544,0.1854407760228261,0.21742428800768235
sub-EN075,English,4.62735380381892,30.6,0.21651139395258406,0.08200169686779697,0.09687595931319141,0.22182038081504873,0.45399097564273133,0.14531098736123155
sub-EN076,English,4.872192048012003,29.0,0.2050968460591629,0.005301373458140145,0.1520771733456751,0.12697207636060265,0.5356040358607832,0.18004534097479896
sub-EN077,English,6.676786709667144,21.6,0.15412152661461878,0.038622516292523605,0.026803927779537533,0.5606683010754524,0.24585036359743992,0.12805489125504657
sub-EN078,English,6.104824040195557,23.0,0.1647236431216238,0.14104527095087635,0.04446968129028679,0.23552114835612215,0.44497948777532964,0.13398441162738506
sub-EN079,English,4.541575091575091,30.6,0.21713858846384645,0.0,0.14033552062721777,0.3049675293963078,0.2063673961892115,0.34832955378726294
sub-EN081,English,6.077947581187934,24.0,0.16838835836446103,0.01574971212926196,0.09687980319333657,0.5337071388774822,0.07480429412814818,0.27885905167177105
sub-EN082,English,5.102777777777778,27.2,0.19366061144009855,0.0014285714285714286,0.08516522962447716,0.21970606828088943,0.3548473313611545,0.3388527993049075
sub-EN083,English,5.2325,26.8,0.19048251784559342,0.02403125329954598,0.09102413704567455,0.41275672738833463,0.13600332739714097,0.3361845548693039
sub-EN084,English,4.556126349674737,30.6,0.21927502286769238,0.03487917963774161,0.2717247997771649,0.2929373393224154,0.17696654169045248,0.22349213957222558
sub-EN086,English,4.946951435661113,27.2,0.1956479052340328,0.14792500496083608,0.2755685868157304,0.4453994114757636,0.05240478314470518,0.07870221360296487
sub-EN087,English,6.0097826086956525,25.8,0.18513983156627994,0.03402099411598613,0.021922400432997417,0.5015238278865002,0.09376675749086247,0.3487660200736538
sub-EN088,English,5.389135002928105,25.2,0.18249131279854322,0.045283303665302976,0.0734489626793183,0.3346029407590502,0.21748967276456713,0.3291751201317613
sub-EN089,English,5.469751082251082,25.0,0.18054086529524524,0.0032520325203252037,0.09104180143685467,0.3385285116011148,0.24924300518881792,0.3179346492528874
sub-EN091,English,5.095462009255113,26.8,0.1921826359681273,0.043352279233419735,0.21541465380217936,0.21537315153493664,0.1970675384289412,0.32879237700052305
sub-EN092,English,5.833448471842511,23.8,0.1712418810559297,0.018206102840249185,0.07441755840483306,0.42102944153561755,0.24947433952990092,0.23687255768939935
sub-EN093,English,5.829553245214349,24.4,0.17161488872823688,0.01912841488663334,0.07804167205747418,0.3043872095324607,0.42083489917298705,0.1776078043504447
sub-EN094,English,5.920242424242423,22.8,0.1627618818731988,0.0,0.2122552119167655,0.07502422097092985,0.24949064870278265,0.46322991840952205
sub-EN095,English,4.9753324120603555,28.2,0.20063365636797745,0.03697602369252632,0.21125131456498236,0.3088994224351863,0.047140291538750156,0.39573294776855483
